ID,Instagram_Handle,Link,Followers,Location,Category
1,@teaseats,https://www.instagram.com/teaseats/,33700,Los Angeles,Food/Travel
2,@adventureswithgi,https://www.instagram.com/adventureswithgi/,30100,Los Angeles,Food/Travel
3,@jill.akemi,https://www.instagram.com/jill.akemi/,27300,Los Angeles,Food/Travel
4,@jessie_eats,https://www.instagram.com/jessie_eats/,27000,Los Angeles,Food
5,@takeonefortheroad,https://www.instagram.com/takeonefortheroad/,22200,Los Angeles,Food/Travel
6,@dandy.eats,https://www.instagram.com/dandy.eats/,18800,Los Angeles,Food
7,@my_adorkable_adventures,https://www.instagram.com/my_adorkable_adventures/,18400,Los Angeles,Food/Travel
8,@tanayas.table,https://www.instagram.com/tanayas.table/,18400,Los Angeles,Food/Host
9,@bunchofgarlic,https://www.instagram.com/bunchofgarlic/,18100,Los Angeles,Food
10,@thefoodiesaur,https://www.instagram.com/thefoodiesaur/,18900,Torrance/OC,Food/Travel
11,@lafoodie,https://www.instagram.com/lafoodie/,13600,Los Angeles,Food
12,@aveganandher,https://www.instagram.com/aveganandher/,13600,Los Angeles,Food/Vegan
13,@itsthenoms,https://www.instagram.com/itsthenoms/,17600,San Jose,Food
14,@nomwiththomas,https://www.instagram.com/nomwiththomas/,17500,LA/OC,Food
15,@hungrywithannie,https://www.instagram.com/hungrywithannie/,17400,LA/OC/626,Food
16,@chatwithcat,https://www.instagram.com/chatwithcat/,16900,LA/OC/Vegas,Food/Lifestyle
17,@lynnstheory,https://www.instagram.com/lynnstheory/,16000,Los Angeles,Lifestyle/Food
18,@samcraves,https://www.instagram.com/samcraves/,15100,Los Angeles,Food
19,@thesavorystyle,https://www.instagram.com/thesavorystyle/,13800,South Bay LA,Food/Travel
20,@breazoleta,https://www.instagram.com/breazoleta/,17700,Los Angeles,Fitness/Lifestyle
21,@kathy.hrndz,https://www.instagram.com/kathy.hrndz/,20900,Los Angeles,Lifestyle
22,@kirraberglund,https://www.instagram.com/kirraberglund/,23500,San Diego,Lifestyle
23,@andiefitzgerald,https://www.instagram.com/andiefitzgerald/,38400,California,Lifestyle
24,@socalkyla,https://www.instagram.com/socalkyla/,26400,San Diego,Lifestyle
25,@mystylemuse,https://www.instagram.com/mystylemuse/,13600,Vacaville,Fashion/Lifestyle
26,@kris_zahrebelna,https://www.instagram.com/kris_zahrebelna/,13400,Los Angeles,Lifestyle
27,@herstorey,https://www.instagram.com/herstorey/,13300,San Francisco,Lifestyle/Food
28,@paulachristii,https://www.instagram.com/paulachristii/,16600,California,Fashion/Lifestyle
29,@katrinamalaiba,https://www.instagram.com/katrinamalaiba/,26100,South Bay LA,Lifestyle
30,@itslaurenkat,https://www.instagram.com/itslaurenkat/,18600,Los Angeles,Travel/Lifestyle
31,@highrise_hostess,https://www.instagram.com/highrise_hostess/,22900,Los Angeles,Beauty/Home
32,@lizinlosangeles,https://www.instagram.com/lizinlosangeles/,29700,Los Angeles,Fashion/Travel
33,@girlnamedjazz,https://www.instagram.com/girlnamedjazz/,17500,Los Angeles,Beauty/Lifestyle
34,@adamfoodstyle,https://www.instagram.com/adamfoodstyle/,24800,Long Beach,Food
35,@itsrafaloza,https://www.instagram.com/itsrafaloza/,11100,Long Beach,Real Estate
36,@cgulick11,https://www.instagram.com/cgulick11/,16300,Long Beach,Cyclist
37,@officerdeonjoseph,https://www.instagram.com/officerdeonjoseph/,13500,Long Beach,Public Speaker
38,@wagatwe,https://www.instagram.com/wagatwe/,29100,Long Beach,Activist
39,@rocknroamgirl,https://www.instagram.com/rocknroamgirl/,46500,Los Angeles,Travel/Lifestyle
40,@janeyricacelle,https://www.instagram.com/janeyricacelle/,41900,Los Angeles,Food/Travel/Lifestyle
